Time,Inj Gas Meter Volume Instantaneous,Inj Gas Meter Volume Setpoint,Inj Gas Valve Percent Open,Rolling Std,Likelihood of Hydrate
2024-09-22 00:15:00,920.97615,,,,0.0
2024-09-22 00:20:00,920.96205,,,,0.0
2024-09-22 01:05:00,920.96205,910.5,,,0.0
2024-09-22 01:40:00,934.1751,910.5,,,0.0
2024-09-22 01:45:00,934.1751,910.5,43.51945,,0.0
2024-09-22 01:50:00,939.19215,910.5,43.51945,,0.0
2024-09-22 01:55:00,939.3099,910.5,43.51945,,0.0
2024-09-22 02:00:00,943.168425,910.5,43.51945,,0.0
2024-09-22 02:10:00,942.0063,910.5,43.51945,,0.0
2024-09-22 02:15:00,942.3276,910.5,43.51945,,0.0
2024-09-22 02:20:00,948.65115,910.5,43.51945,,0.0
2024-09-22 02:25:00,953.73105,910.5,43.51945,,0.0
2024-09-22 02:40:00,963.92235,910.5,43.51945,,0.0
2024-09-22 03:00:00,962.79405,910.5,43.51945,,0.0
2024-09-22 03:05:00,970.5504,910.5,43.51945,,0.0
2024-09-22 03:10:00,973.1256499999996,910.5,43.51945,,0.0
2024-09-22 03:50:00,973.2873,910.5,43.51945,,0.0
2024-09-22 04:00:00,973.2873,910.5,43.51945,,0.0
2024-09-22 04:30:00,973.2873,910.5,43.51945,,0.0
2024-09-22 05:00:00,973.2873,910.5,43.51945,19.09702315899031,3.9393133396986717
2024-09-22 05:30:00,973.30275,910.5,37.28858,18.462376090168537,3.79999339883927
2024-09-22 05:35:00,979.820325,910.5,37.28858,17.80370633961245,3.6553999149936502
2024-09-22 05:50:00,944.660475,910.5,36.7808,16.07330386815713,3.275535921556032
2024-09-22 05:55:00,945.8039500000006,910.5,36.7808,15.404268915675821,3.1286670323864763
2024-09-22 06:00:00,948.5169,910.5,36.7808,14.573484741207892,2.9462903891465104
2024-09-22 06:05:00,957.1218,910.5,36.7808,13.877423417040028,2.7934885764829476
2024-09-22 06:15:00,956.4183,910.5,36.7808,13.098910890868593,2.6225867880198437
2024-09-22 06:20:00,953.74665,910.5,36.7808,12.589131594858346,2.510678256710704
2024-09-22 06:35:00,960.437625,910.5,36.7808,11.816328665851698,2.3410298589562437
2024-09-22 06:40:00,960.48585,910.5,36.7808,10.938426451344261,2.1483096990213966
2024-09-22 06:50:00,954.9867499999996,910.5,36.7808,10.608756886967667,2.0759394849788735
2024-09-22 06:55:00,953.8587,910.5,36.7808,10.603159012500136,2.0747106200268886
2024-09-22 07:00:00,950.50395,910.5,36.7808,10.936701575474869,2.147931048246944
2024-09-22 07:05:00,950.50395,910.5,36.7808,11.22898717658582,2.2120946041212846
2024-09-22 07:30:00,954.54315,910.5,36.7808,11.108499132241397,2.185644647858989
2024-09-22 07:35:00,957.30255,910.5,36.7808,10.722417609483099,2.1008906837109262
2024-09-22 07:45:00,957.852,910.5,36.7808,10.242114911392397,1.9954529581151281
2024-09-22 07:50:00,961.46475,910.5,36.7808,9.700121486852256,1.8764726688130713
2024-09-22 07:55:00,961.46475,910.5,36.7808,9.085601253206011,1.7415710410982455
2024-09-22 08:00:00,961.5105,910.5,36.7808,8.383846246201252,1.5875193312948737
2024-09-22 08:05:00,961.31415,910.5,36.7808,7.561315979209109,1.406954614648251
2024-09-22 08:10:00,961.9269499999996,910.5,36.7808,5.429200296600678,0.9389051342372284
2024-09-22 08:15:00,963.39945,910.5,36.7808,5.021569737040006,0.8494206502768588
2024-09-22 08:20:00,966.0015,910.5,36.7808,4.747271939911378,0.7892058399496459
2024-09-22 08:25:00,965.994975,910.5,36.7808,4.5797986594252125,0.7524415205678843
2024-09-22 08:35:00,959.81985,910.5,36.7808,4.575500990788717,0.7514980813405016
2024-09-22 08:40:00,959.16,910.5,36.7808,4.545244450049808,0.7448560598557405
2024-09-22 08:45:00,957.4366999999996,910.5,36.7808,4.401342561206041,0.7132662146832263
2024-09-22 08:50:00,952.2264,910.5,36.7808,4.636707073322517,0.7649342543219282
2024-09-22 08:55:00,952.2264,910.5,36.7808,4.8228437250914675,0.8057956221438283
2024-09-22 09:00:00,956.262,910.5,36.7808,4.786770455738436,0.7978766920805415
